5p,15p,25p,35p,45p,50p,55p,65p,75p,85p,95p
6177.4944,14380.324463999998,24048.103199999998,39866.901359999996,45514.896239999995,48546.28099199999,51983.615375999994,65349.06576,81189.9264,110149.137648,164444.900928
9164.754192,24048.103199999998,34417.468799999995,42682.073807999994,49186.092912,52994.07695999999,60804.19487999999,76420.018224,100088.64676799998,123770.51279999998,172087.34399999998
8895.591935999999,15884.985599999998,27004.47552,37417.96608,43652.822927999994,48537.456,52067.4528,65349.06576,74637.36983999998,108812.15135999999,164444.900928
6177.4944,17950.033728,30865.409519999997,39346.22683199999,43652.822927999994,46432.695408,50743.704,66187.44,79791.16516799999,97516.16159999999,141967.646304
12796.238399999998,24048.103199999998,36103.042272,43652.822927999994,51626.203199999996,55928.3868,61841.13143999999,75894.93119999999,93544.91519999999,115122.02064,164586.1008
6177.4944,15884.985599999998,26474.976,36138.34224,43723.42286399999,48219.756288,50973.153792,64863.691199999994,81631.17599999999,117601.84339199998,164586.1008
4416.908495999999,16079.135423999998,28637.09904,39050.5896,44976.571727999995,48546.28099199999,55835.724383999994,67069.9392,82213.625472,115122.02064,179513.574768
7412.99328,18205.958496,28231.149408,40594.9632,48537.456,52067.4528,60848.31984,66628.68959999998,92662.416,115122.02064,179513.574768
7412.99328,17649.984,30931.596959999995,41962.83695999999,48219.756288,51004.041264,54053.075999999994,67069.9392,94427.4144,118307.84275199998,172087.34399999998
6923.206224,15531.985919999997,25243.889615999997,36103.042272,44266.159872,48537.456,55928.3868,67069.9392,82844.61239999998,113935.05921599998,179513.574768
10700.3028,22062.48,34651.331088,42055.499376,48537.456,53347.07663999999,61774.943999999996,73909.30799999999,90456.16799999999,113935.05921599998,164586.1008
6177.4944,15567.285888,28231.149408,41720.149679999995,47888.819088,49186.092912,57583.0728,74637.36983999998,92662.416,126342.997968,164586.1008
8886.766943999999,18633.970608,31769.971199999996,40665.563136,46600.370255999995,49393.480224,52994.07695999999,71041.18559999998,88249.92,118140.16790399999,164444.900928
6923.206224,17649.984,29669.623104,40594.9632,48537.456,51626.203199999996,55835.724383999994,67069.9392,92229.99139199998,118307.84275199998,183573.071088
8895.591935999999,24109.878144,34717.518528,41962.83695999999,48537.456,51983.615375999994,55928.3868,68040.68832,88249.92,111194.89919999999,161497.3536
7412.99328,22062.48,30887.471999999998,39866.901359999996,43723.42286399999,48537.456,51983.615375999994,61704.344064,73922.54548799999,98848.73539199999,153907.86047999997
7412.99328,17649.984,29762.285519999998,41918.712,47888.819088,51705.62812799999,59639.295935999995,67069.9392,86939.408688,108812.15135999999,153554.8608
7412.99328,19856.232,29762.285519999998,39712.464,46715.095151999994,49393.480224,57583.0728,69818.924208,81326.71377599999,119137.39199999999,183162.70896
7412.99328,15531.985919999997,28231.149408,37417.96608,45232.496496,48219.756288,51626.203199999996,65349.06576,83378.52441599999,113268.77231999999,184221.70799999998
9729.553679999999,18633.970608,34285.09392,41720.149679999995,46715.095151999994,52949.952,58853.87164799999,69677.724336,88249.92,113935.05921599998,172087.34399999998
7412.99328,18205.958496,31108.096799999996,41036.212799999994,48219.756288,49861.2048,52949.952,69818.924208,86939.408688,119812.50388799999,183162.70896
7412.99328,17649.984,26033.7264,36226.59216,42055.499376,46331.208,48634.530911999995,55835.724383999994,71773.659936,98186.86099199999,164105.13873599996
7412.99328,17649.984,30931.596959999995,39972.801263999994,46331.208,52067.4528,60407.070239999994,67987.73836799999,90456.16799999999,118140.16790399999,164444.900928
7412.99328,18633.970608,30931.596959999995,40153.713599999995,46715.095151999994,49216.980383999995,55835.724383999994,66187.44,80439.80208,108812.15135999999,183162.70896
9164.754192,19856.232,30887.471999999998,42051.086879999995,49186.092912,52067.4528,55928.3868,67069.9392,82319.52537599999,118140.16790399999,183573.071088
7412.99328,18633.970608,30746.272127999997,40594.9632,48144.743855999994,50831.95391999999,60407.070239999994,79424.928,96020.32545599999,119812.50388799999,172087.34399999998
6923.206224,13608.137663999998,25243.889615999997,39712.464,46432.695408,48634.530911999995,52994.07695999999,66187.44,92229.99139199998,124494.162144,209646.509952
6177.4944,17950.033728,25989.601439999995,38203.390368,43683.710399999996,48219.756288,50831.95391999999,66187.44,79791.16516799999,98186.86099199999,137034.47577599998
8886.766943999999,22940.566704,30887.471999999998,41049.450288,46331.208,49186.092912,55098.837552,66628.68959999998,82213.625472,110422.71239999999,174739.254096
9288.304079999998,23253.853919999998,34086.531599999995,41036.212799999994,46600.370255999995,49216.980383999995,54053.075999999994,69677.724336,92229.99139199998,126342.997968,184221.70799999998
9116.216735999998,16767.4848,26474.976,39050.5896,42055.499376,48537.456,52994.07695999999,67003.75176,82844.61239999998,117601.84339199998,164586.1008
8599.954703999998,19167.882623999998,34285.09392,42682.073807999994,51626.203199999996,55098.837552,64528.341503999996,80991.36408,98186.86099199999,126342.997968,172087.34399999998
10713.540288,22062.48,34285.09392,41918.712,47037.20735999999,50973.153792,52994.07695999999,69677.724336,86939.408688,113268.77231999999,164586.1008
5736.2447999999995,19167.882623999998,30887.471999999998,42682.073807999994,50743.704,58853.87164799999,64863.691199999994,77757.004512,96020.32545599999,115122.02064,172087.34399999998
