YEAR,STATEFIP,RPP
2019,56,92.7
2018,56,94.5
2017,56,95.9
2016,56,96.4
2015,56,96.8
2014,56,96
2013,56,95.8
2012,56,96.7
2011,56,95.9
2010,56,96.1
2009,56,96.1
2008,56,96.5006198
2007,56,96.35675706
2006,56,96.16704234
2005,56,96.30323325
2004,56,96.16507118
2003,56,96.0315174
2002,56,96.21969045
2001,56,96.13042437
2000,56,96.09091392
1999,56,96.04727063
1998,56,96.00119543
1997,56,95.9540214
1996,56,95.90680993
1995,56,95.86042177
1994,56,95.81556951
1993,56,95.77285628
1992,56,95.73280442
1991,56,95.69587656
1990,56,95.66412937
1989,56,95.63802881
1988,56,95.61572337
1987,56,95.59565599
1986,56,95.57648708
1985,56,95.55703766
1984,56,95.53624739
1983,56,95.51314349
1982,56,95.48681789
1981,56,95.45641032
1980,56,95.40358982
1979,56,95.31903461
1978,56,95.21511067
1977,56,95.10209101
1976,56,94.98870293
1975,56,94.88253217
1974,56,94.79032142
1973,56,94.71819075
1972,56,94.6718004
1971,56,94.65647101
2019,55,91.9
2018,55,92.4
2017,55,92.6
2016,55,93
2015,55,93.3
2014,55,93.2
2013,55,93.5
2012,55,93.3
2011,55,92.8
2010,55,92.9
2009,55,93
2008,55,93.06531223
2007,55,93.05367294
2006,55,92.93006549
2005,55,92.90906122
2004,55,92.95256481
2003,55,92.84625412
2002,55,92.86610055
2001,55,92.51739082
2000,55,92.47770101
1999,55,92.43244562
1998,55,92.38327791
1997,55,92.33142938
1996,55,92.27782014
1995,55,92.22314026
1994,55,92.16790998
1993,55,92.11252406
1992,55,92.05728463
1991,55,92.00242539
1990,55,91.94738823
1989,55,91.89160421
1988,55,91.83526323
1987,55,91.77850236
1986,55,91.72141964
1985,55,91.66408429
1984,55,91.60654425
1983,55,91.54883175
1982,55,91.49096739
1981,55,91.43296321
1980,55,91.37667515
1979,55,91.32370415
1978,55,91.27361653
1977,55,91.22608671
1976,55,91.18086888
1975,55,91.13777621
1974,55,91.09666539
1973,55,91.05742525
1972,55,91.01996837
1971,55,90.98422487
2019,54,87.8
2018,54,87.2
2017,54,87.8
2016,54,88.7
2015,54,88.2
2014,54,88.6
2013,54,88.6
2012,54,88.5
2011,54,88.4
2010,54,87.5
2009,54,87
2008,54,87.65715357
2007,54,87.72362362
2006,54,87.54087839
2005,54,87.45397965
2004,54,87.36879102
2003,54,87.32465577
2002,54,87.35588287
2001,54,87.4293986
2000,54,87.39600391
1999,54,87.34921826
1998,54,87.29368056
1997,54,87.23318253
1996,54,87.17089022
1995,54,87.10950761
1994,54,87.0513974
1993,54,86.99867028
1992,54,86.95325082
1991,54,86.9169261
1990,54,86.88525838
1989,54,86.85254891
1988,54,86.81901915
1987,54,86.78480657
1986,54,86.74998664
1985,54,86.71458899
1984,54,86.67860947
1983,54,86.64201892
1982,54,86.60476972
1981,54,86.56680065
1980,54,86.52240945
1979,54,86.46844197
1978,54,86.40858474
1977,54,86.34589598
1976,54,86.28296991
1975,54,86.22205805
1974,54,86.16515882
1973,54,86.11408374
1972,54,86.07050631
1971,54,86.03599806
2019,53,107.8
2018,53,106.8
2017,53,106.1
2016,53,105.2
2015,53,104.9
2014,53,104.2
2013,53,103.5
2012,53,102.9
2011,53,103
2010,53,103.7
2009,53,103.2
2008,53,103.028899
2007,53,102.8669632
2006,53,102.7196077
2005,53,102.7830228
2004,53,102.9339157
2003,53,102.8776302
2002,53,102.7805127
2001,53,102.5684059
2000,53,102.4434511
1999,53,102.3272327
1998,53,102.218399
1997,53,102.1160085
1996,53,102.0194229
1995,53,101.9282278
1994,53,101.842174
1993,53,101.7611344
1992,53,101.6850722
1991,53,101.614017
1990,53,101.5463579
1989,53,101.4799873
1988,53,101.4143973
1987,53,101.3491209
1986,53,101.2837211
1985,53,101.2177835
1984,53,101.1509099
1983,53,101.0827146
1982,53,101.0128205
1981,53,100.9408575
1980,53,100.8711661
1979,53,100.8079274
1978,53,100.7503346
1977,53,100.6977882
1976,53,100.6498421
1975,53,100.6061629
1974,53,100.566501
1973,53,100.5306686
1972,53,100.4985233
1971,53,100.4699563
2019,51,102
2018,51,102
2017,51,102.2
2016,51,102.6
2015,51,102.7
2014,51,102.8
2013,51,103
2012,51,103
2011,51,103.1
2010,51,103.5
2009,51,102.8
2008,51,102.4772134
2007,51,102.3053207
2006,51,102.1363502
2005,51,102.0570767
2004,51,102.1113098
2003,51,101.8294406
2002,51,101.9268576
2001,51,101.754807
2000,51,101.703795
1999,51,101.6456656
1998,51,101.5820827
1997,51,101.5142239
1996,51,101.4429084
1995,51,101.3686903
1994,51,101.2919279
1993,51,101.2128351
1992,51,101.131519
1991,51,101.048008
1990,51,100.9630179
1989,51,100.877454
1988,51,100.7914949
1987,51,100.705287
1986,51,100.6189527
1985,51,100.5325966
1984,51,100.4463105
1983,51,100.3601764
1982,51,100.2742695
1981,51,100.1886595
1980,51,100.1085265
1979,51,100.0383175
1978,51,99.97684827
1977,51,99.92324536
1976,51,99.87686436
1975,51,99.83723018
1974,51,99.80399279
1973,51,99.77689446
1972,51,99.75574568
1971,51,99.74040729
2019,50,103
2018,50,103.2
2017,50,102.6
2016,50,102.7
2015,50,102.5
2014,50,100.9
2013,50,100.8
2012,50,99.9
2011,50,99.5
2010,50,100.6
2009,50,100.4
2008,50,100.2857216
2007,50,99.97796166
2006,50,99.80527594
2005,50,99.9887253
2004,50,99.62937473
2003,50,99.64997654
2002,50,99.51489387
2001,50,99.30613461
2000,50,99.24278949
1999,50,99.2189402
1998,50,99.2200581
1997,50,99.23406415
1996,50,99.2506884
1995,50,99.26099696
1994,50,99.25704267
1993,50,99.23160707
1992,50,99.17800989
1991,50,99.0899683
1990,50,98.98229928
1989,50,98.87503568
1988,50,98.76842537
1987,50,98.66282547
1986,50,98.55867377
1985,50,98.45646764
1984,50,98.35674847
1983,50,98.26009014
1982,50,98.16709053
1981,50,98.07836523
1980,50,97.99952928
1979,50,97.93457323
1978,50,97.88166536
1977,50,97.83943119
1976,50,97.80683391
1975,50,97.7830861
1974,50,97.76758451
1973,50,97.75986192
1972,50,97.75955155
1971,50,97.76636081
2019,49,96.6
2018,49,95.9
2017,49,96
2016,49,96.4
2015,49,96.8
2014,49,97.7
2013,49,97.1
2012,49,97.2
2011,49,96.9
2010,49,97.8
2009,49,96.8
2008,49,96.62273562
2007,49,96.49034784
2006,49,96.36105853
2005,49,96.31363839
2004,49,96.25760573
2003,49,96.41405989
2002,49,96.25895169
2001,49,96.41393747
2000,49,96.30881727
1999,49,96.17959418
1998,49,96.036904
1997,49,95.88972647
1996,49,95.74581824
1995,49,95.6120327
1994,49,95.49455618
1993,49,95.39908231
1992,49,95.33094092
1991,49,95.29519311
1990,49,95.27293796
1989,49,95.24249343
1988,49,95.2059887
1987,49,95.1649902
1986,49,95.1206488
1985,49,95.07380843
1984,49,95.02508638
1983,49,94.97493252
1982,49,94.9236731
1981,49,94.87154305
1980,49,94.8181398
1979,49,94.7633017
1978,49,94.7075353
1977,49,94.65125169
1976,49,94.59479141
1975,49,94.53844292
1974,49,94.48245621
1973,49,94.42705288
1972,49,94.37243354
1971,49,94.31878329
2019,48,96.8
2018,48,96.8
2017,48,96.6
2016,48,96.7
2015,48,96.5
2014,48,96.3
2013,48,96.2
2012,48,96.2
2011,48,96.3
2010,48,96.4
2009,48,96.5
2008,48,96.22867033
2007,48,96.11200476
2006,48,95.95078052
2005,48,95.93338104
2004,48,95.94456277
2003,48,95.98210538
2002,48,95.96478823
2001,48,95.78233148
2000,48,95.66283342
1999,48,95.54778306
1998,48,95.43797785
1997,48,95.33429089
1996,48,95.23765112
1995,48,95.14902874
1994,48,95.06942444
1993,48,94.99986138
1992,48,94.94137936
1991,48,94.89503045
1990,48,94.85354757
1989,48,94.80910401
1988,48,94.7623931
1987,48,94.7138854
1986,48,94.66388693
1985,48,94.6125822
1984,48,94.56006598
1983,48,94.50636677
1982,48,94.45146412
1981,48,94.39530143
1980,48,94.3366228
1979,48,94.27501373
1978,48,94.21159273
1977,48,94.14728482
1976,48,94.08287212
1975,48,94.01903121
1974,48,93.95636072
1973,48,93.89540174
1972,48,93.83665284
1971,48,93.78058119
2019,47,89.9
2018,47,89.7
2017,47,89.6
2016,47,89.9
2015,47,89.8
2014,47,90.7
2013,47,90.8
2012,47,90.3
2011,47,90.2
2010,47,90.5
2009,47,90.5
2008,47,90.12081356
2007,47,90.05052585
2006,47,89.91394019
2005,47,90.04228964
2004,47,89.97468684
2003,47,89.91936293
2002,47,89.98211734
2001,47,89.86930137
2000,47,89.7711419
1999,47,89.67547483
1998,47,89.58271972
1997,47,89.49337971
1996,47,89.40801967
1995,47,89.32725008
1994,47,89.25171508
1993,47,89.1820837
1992,47,89.11904331
1991,47,89.06329485
1990,47,89.01331013
1989,47,88.9662295
1988,47,88.92104846
1987,47,88.87689593
1986,47,88.83299938
1985,47,88.78865901
1984,47,88.7432288
1983,47,88.6961024
1982,47,88.64670276
1981,47,88.59447449
1980,47,88.54131267
1979,47,88.4894553
1978,47,88.4387214
1977,47,88.38897605
1976,47,88.34011836
1975,47,88.29207258
1974,47,88.24478151
1973,47,88.19820166
1972,47,88.15229967
1971,47,88.10704964
