STATEFIP,YEAR,RPP
1,2009,87.6
2,2009,106.9
4,2009,100.6
5,2009,86.9
6,2009,113.1
8,2009,100.4
9,2009,110.7
10,2009,102
11,2009,115.6
12,2009,100.8
13,2009,93.5
15,2009,118.1
16,2009,95.2
17,2009,100.2
18,2009,91.2
19,2009,88.6
20,2009,89.3
21,2009,88.9
22,2009,90.7
23,2009,98
24,2009,110.3
25,2009,108.3
26,2009,95.4
27,2009,97.4
28,2009,86.4
29,2009,87.8
30,2009,95.3
31,2009,89.7
32,2009,100.8
33,2009,107.2
34,2009,112.9
35,2009,94.4
36,2009,115.1
37,2009,92
38,2009,88.5
39,2009,90
40,2009,88.9
41,2009,98.3
42,2009,98.2
44,2009,100.2
45,2009,91.1
46,2009,86.9
47,2009,90.5
48,2009,96.5
49,2009,96.8
50,2009,100.4
51,2009,102.8
53,2009,103.2
54,2009,87
55,2009,93
56,2009,96.1
1,2010,87.5
2,2010,106.9
4,2010,100.1
5,2010,86.6
6,2010,112.9
8,2010,101.1
9,2010,110.4
10,2010,103.2
11,2010,116.4
12,2010,100
13,2010,93.1
15,2010,117.1
16,2010,94.8
17,2010,100.9
18,2010,91.4
19,2010,89
20,2010,89.6
21,2010,88.7
22,2010,91.4
23,2010,98.1
24,2010,111.3
25,2010,108
26,2010,95.2
27,2010,97.7
28,2010,85.8
29,2010,87.9
30,2010,94.5
31,2010,89.6
32,2010,100.7
33,2010,106.4
34,2010,113.3
35,2010,94.4
36,2010,115.3
37,2010,92.1
38,2010,89
39,2010,89.3
40,2010,89.5
41,2010,98.9
42,2010,98.2
44,2010,100
45,2010,91.5
46,2010,85.8
47,2010,90.5
48,2010,96.4
49,2010,97.8
50,2010,100.6
51,2010,103.5
53,2010,103.7
54,2010,87.5
55,2010,92.9
56,2010,96.1
1,2011,87.9
2,2011,105.5
4,2011,98.6
5,2011,87.7
6,2011,113.6
8,2011,100.9
9,2011,109.4
10,2011,102.8
11,2011,118.2
12,2011,99.1
13,2011,92.3
15,2011,117.2
16,2011,93.5
17,2011,100.9
18,2011,91.4
19,2011,89.2
20,2011,89.9
21,2011,88.6
22,2011,91.2
23,2011,96.8
24,2011,111
25,2011,108
26,2011,94.7
27,2011,97.1
28,2011,86.7
29,2011,88.3
30,2011,93.9
31,2011,90.3
32,2011,99.9
33,2011,106.5
34,2011,114.1
35,2011,94.6
36,2011,115.2
37,2011,91.3
38,2011,89.2
39,2011,89.8
40,2011,89.6
41,2011,98.5
42,2011,98.5
44,2011,99.1
45,2011,90.4
46,2011,86.9
47,2011,90.2
48,2011,96.3
49,2011,96.9
50,2011,99.5
51,2011,103.1
53,2011,103
54,2011,88.4
55,2011,92.8
56,2011,95.9
1,2012,87.7
2,2012,105.1
4,2012,97.9
5,2012,87.6
6,2012,113.4
8,2012,101.4
9,2012,109
10,2012,101.8
11,2012,117.8
12,2012,99.2
13,2012,91.9
15,2012,116.9
16,2012,93.3
17,2012,101.1
18,2012,91.7
19,2012,90
20,2012,90.7
21,2012,88.6
22,2012,91
23,2012,97.4
24,2012,110.9
25,2012,107.8
26,2012,94.6
27,2012,97.2
28,2012,86.8
29,2012,89.1
30,2012,93.8
31,2012,90.3
32,2012,99.8
33,2012,105.3
34,2012,114.6
35,2012,95.3
36,2012,115.2
37,2012,91.5
38,2012,89.7
39,2012,89.7
40,2012,89.6
41,2012,98.5
42,2012,98.4
44,2012,99.4
45,2012,90.8
46,2012,87.3
47,2012,90.3
48,2012,96.2
49,2012,97.2
50,2012,99.9
51,2012,103
53,2012,102.9
54,2012,88.5
55,2012,93.3
56,2012,96.7
1,2013,88.1
2,2013,105.4
4,2013,97.1
5,2013,87.8
6,2013,112.9
8,2013,101.1
9,2013,109.2
10,2013,101.2
11,2013,117.7
12,2013,99.1
13,2013,92.2
15,2013,117.8
16,2013,93.4
17,2013,100.7
18,2013,91.4
19,2013,90.2
20,2013,90.6
21,2013,88.8
22,2013,91.4
23,2013,98.4
24,2013,110.1
25,2013,106.6
26,2013,94.5
27,2013,97.6
28,2013,86.5
29,2013,89.3
30,2013,93.5
31,2013,90.6
32,2013,98.7
33,2013,105.6
34,2013,114.4
35,2013,95
36,2013,115.3
37,2013,91.7
38,2013,91
39,2013,89.4
40,2013,89.9
41,2013,98.7
42,2013,98.4
44,2013,98.8
45,2013,90.8
46,2013,88.9
47,2013,90.8
48,2013,96.2
49,2013,97.1
50,2013,100.8
51,2013,103
53,2013,103.5
54,2013,88.6
55,2013,93.5
56,2013,95.8
1,2014,87.8
2,2014,104.9
4,2014,96.5
5,2014,87.8
6,2014,113.1
8,2014,102.1
9,2014,108.5
10,2014,100.6
11,2014,117
12,2014,99.2
13,2014,92.3
15,2014,118.3
16,2014,93.2
17,2014,99.7
18,2014,91.3
19,2014,90.6
20,2014,91.3
21,2014,89.3
22,2014,91.2
23,2014,98.5
24,2014,109.9
25,2014,106.7
26,2014,94.3
27,2014,97.5
28,2014,87.2
29,2014,89.9
30,2014,94.6
31,2014,90.7
32,2014,98.7
33,2014,105.4
34,2014,113.4
35,2014,95.3
36,2014,115.2
37,2014,91.8
38,2014,91.7
39,2014,89.5
40,2014,90
41,2014,98.9
42,2014,98.6
44,2014,98.8
45,2014,90.5
46,2014,88
